customer_id,full_name,email,ip_address,country,first_sign_up
CUST-100,Christina Fox,user_100@example.com,192.168.100.172,Philippines,2025-10-28
CUST-101,Anita Copeland,user_101@example.com,192.168.17.174,Swaziland,2026-07-07
CUST-102,Timothy Harris,user_102@example.com,192.168.81.136,Belarus,2025-06-14
CUST-103,Michael Padilla,user_103@example.com,192.168.171.110,Uzbekistan,2026-05-30
CUST-104,Mark Kim,user_104@example.com,192.168.204.234,Singapore,2026-03-11
CUST-105,Stephanie Norris,user_105@example.com,192.168.188.171,Norway,2025-09-08
CUST-106,Dylan Conner,user_106@example.com,192.168.244.251,Sao Tome and Principe,2024-12-13
CUST-107,Heather Nelson,user_107@example.com,192.168.210.121,Haiti,2026-05-23
CUST-108,William Jacobs,user_108@example.com,192.168.165.246,Togo,2026-01-18
CUST-109,Laura Smith,user_109@example.com,192.168.80.95,Austria,2025-01-26
CUST-110,James Dalton,user_110@example.com,192.168.228.107,Iraq,2024-09-21
CUST-111,Sherry Griffin,user_111@example.com,192.168.200.113,Falkland Islands (Malvinas),2024-11-05
CUST-112,Sarah Dickerson,user_112@example.com,192.168.22.126,Madagascar,2026-06-20
CUST-113,Tammy Hudson,user_113@example.com,192.168.104.19,Argentina,2025-07-27
CUST-114,Ashley Scott,user_114@example.com,192.168.206.116,Iraq,2025-10-15
CUST-115,Michael Sanders,user_115@example.com,192.168.109.128,Wallis and Futuna,2024-09-15
CUST-116,Tamara Le,user_116@example.com,192.168.178.44,Saint Kitts and Nevis,2024-10-30
CUST-117,Stephanie Skinner,user_117@example.com,192.168.37.66,Rwanda,2024-10-30
CUST-118,Marcus Howell,user_118@example.com,192.168.168.246,Lithuania,2025-05-03
CUST-119,Belinda Sandoval,user_119@example.com,192.168.215.121,Saint Vincent and the Grenadines,2024-11-16
CUST-120,Gary Jones,user_120@example.com,192.168.51.70,Turks and Caicos Islands,2025-04-10
CUST-121,Katherine Hill,user_121@example.com,192.168.140.26,Malaysia,2024-10-31
CUST-122,Joseph Simpson,user_122@example.com,192.168.227.169,Hong Kong,2024-12-03
CUST-123,Peter Evans,user_123@example.com,192.168.68.9,Peru,2025-12-14
CUST-124,Ronald Smith,user_124@example.com,192.168.173.32,Aruba,2025-03-04
CUST-125,Christine Banks,user_125@example.com,192.168.171.37,Timor-Leste,2024-10-21
CUST-126,Alicia Browning,user_126@example.com,192.168.231.121,Slovakia (Slovak Republic),2025-03-12
CUST-127,Regina Miller,user_127@example.com,192.168.174.227,Isle of Man,2026-02-13
CUST-128,Renee Young,user_128@example.com,192.168.14.48,Vietnam,2024-11-13
CUST-129,Douglas Brewer,user_129@example.com,192.168.97.223,Bouvet Island (Bouvetoya),2026-02-25
CUST-130,Adam Norris,user_130@example.com,192.168.142.101,Jamaica,2026-04-01
CUST-131,Lucas Blevins,user_131@example.com,192.168.122.128,Philippines,2024-12-18
CUST-132,Darryl Campbell,user_132@example.com,192.168.225.133,Israel,2026-03-12
CUST-133,Daniel Brock,user_133@example.com,192.168.99.20,Argentina,2025-08-04
CUST-134,Billy Morgan,user_134@example.com,192.168.221.203,Papua New Guinea,2024-09-20
CUST-135,Christine Johnson,user_135@example.com,192.168.127.176,Micronesia,2025-12-22
CUST-136,Chad Andrade,user_136@example.com,192.168.126.221,Nauru,2025-03-27
