invoice_id,customer_id,customer_name,email,ip_address,product_id,quantity,unit_price,timestamp
INV-1000,CUST-818,User_818,user_818@example.com,192.168.19.116,1,2,25.5,2026-09-05T15:42:00Z
INV-1001,CUST-739,User_739,user_739@example.com,192.168.246.212,5,3,8.99,2026-09-03T13:25:00Z
INV-1002,CUST-463,User_463,user_463@example.com,192.168.243.39,1,4,25.5,2026-09-03T04:29:00Z
INV-1003,CUST-452,User_452,user_452@example.com,192.168.61.177,3,2,15.99,2026-09-05T21:16:00Z
INV-1004,CUST-933,User_933,user_933@example.com,192.168.133.127,4,1,45.0,2026-09-06T12:20:00Z
INV-1005,CUST-293,User_293,user_293@example.com,192.168.244.255,3,4,15.99,2026-09-03T10:10:00Z
INV-1006,CUST-282,User_282,user_282@example.com,192.168.18.47,1,5,25.5,2026-09-07T15:00:00Z
INV-1007,CUST-994,User_994,user_994@example.com,192.168.20.116,5,4,8.99,2026-09-08T07:53:00Z
INV-1008,CUST-339,User_339,user_339@example.com,192.168.138.114,3,2,15.99,2026-09-04T08:33:00Z
INV-1009,CUST-922,User_922,user_922@example.com,192.168.49.51,5,2,8.99,2026-09-04T21:39:00Z
INV-1010,CUST-284,User_284,user_284@example.com,192.168.122.92,4,3,45.0,2026-09-03T12:32:00Z
INV-1011,CUST-262,User_262,user_262@example.com,192.168.127.152,1,1,25.5,2026-09-05T04:04:00Z
INV-1012,CUST-693,User_693,user_693@example.com,192.168.56.103,5,4,8.99,2026-09-07T08:26:00Z
INV-1013,CUST-833,User_833,user_833@example.com,192.168.237.95,4,1,45.0,2026-09-06T21:22:00Z
INV-1014,CUST-975,User_975,user_975@example.com,192.168.95.44,2,4,120.0,2026-09-03T12:02:00Z
INV-1015,CUST-918,User_918,user_918@example.com,192.168.30.61,4,1,45.0,2026-09-01T16:22:00Z
INV-1016,CUST-759,User_759,user_759@example.com,192.168.167.192,4,5,45.0,2026-09-08T22:21:00Z
INV-1017,CUST-529,User_529,user_529@example.com,192.168.50.28,5,4,8.99,2026-09-08T02:59:00Z
INV-1018,CUST-981,User_981,user_981@example.com,192.168.144.46,2,2,120.0,2026-09-01T21:11:00Z
INV-1019,CUST-240,User_240,user_240@example.com,192.168.225.20,2,1,120.0,2026-09-04T07:45:00Z
INV-1020,CUST-516,User_516,user_516@example.com,192.168.64.31,5,4,8.99,2026-09-04T11:16:00Z
INV-1021,CUST-545,User_545,user_545@example.com,192.168.46.59,3,3,15.99,2026-09-04T23:15:00Z
INV-1022,CUST-950,User_950,user_950@example.com,192.168.52.210,1,5,25.5,2026-09-08T14:46:00Z
INV-1023,CUST-285,User_285,user_285@example.com,192.168.208.229,3,1,15.99,2026-09-04T05:59:00Z
INV-1024,CUST-662,User_662,user_662@example.com,192.168.151.105,3,1,15.99,2026-09-04T07:42:00Z
INV-1025,CUST-203,User_203,user_203@example.com,192.168.210.134,2,3,120.0,2026-09-05T08:41:00Z
INV-1026,CUST-704,User_704,user_704@example.com,192.168.205.88,5,5,8.99,2026-09-02T05:56:00Z
INV-1027,CUST-559,User_559,user_559@example.com,192.168.185.199,3,5,15.99,2026-09-04T08:16:00Z
INV-1028,CUST-206,User_206,user_206@example.com,192.168.79.126,1,5,25.5,2026-09-07T00:52:00Z
INV-1029,CUST-762,User_762,user_762@example.com,192.168.181.138,5,4,8.99,2026-09-05T09:11:00Z
INV-1030,CUST-213,User_213,user_213@example.com,192.168.180.144,2,5,120.0,2026-09-08T16:49:00Z
INV-1031,CUST-598,User_598,user_598@example.com,192.168.57.240,4,4,45.0,2026-09-01T06:33:00Z
INV-1032,CUST-271,User_271,user_271@example.com,192.168.43.68,2,1,120.0,2026-09-05T14:20:00Z
INV-1033,CUST-115,User_115,user_115@example.com,192.168.109.128,1,1,25.5,2026-09-06T00:02:00Z
INV-1034,CUST-810,User_810,user_810@example.com,192.168.89.205,2,3,120.0,2026-09-07T01:30:00Z
INV-1035,CUST-626,User_626,user_626@example.com,192.168.11.27,5,1,8.99,2026-09-03T07:41:00Z
